               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10643,            0.035074,             0.10034,           0.0023267,             0.20115,            0.021222,            0.010573,            0.090127,            0.027554,            0.093775,            0.070441,           0.0032843,           0.0032843
                   1,            0.073186,            0.035483,            0.090615,             0.29955,            0.067045,            0.031455,            0.015504,            0.076463,             0.02387,            0.084632,            0.040179,           0.0063556,           0.0063556
                   2,            0.067403,            0.028961,            0.085138,             0.52817,            0.045853,            0.034548,            0.014502,            0.064043,            0.021845,            0.080838,           0.0096531,           0.0091629,           0.0091629
                   3,            0.060781,            0.027465,            0.082543,             0.72215,            0.047078,            0.042134,            0.022252,            0.063398,            0.021368,            0.078653,            0.008812,            0.008812,            0.008812
                   4,            0.056228,            0.026955,            0.079964,             0.67324,            0.057736,             0.03938,             0.01993,            0.057393,            0.021524,            0.077158,            0.008812,            0.008812,            0.008812
                   5,            0.051828,            0.025478,            0.079315,             0.69847,            0.064467,            0.063564,            0.039658,            0.056407,            0.021475,            0.075929,            0.008416,            0.008416,            0.008416
                   6,             0.04944,            0.024328,            0.077439,              0.7067,            0.061018,            0.052377,            0.031457,            0.051369,            0.021541,            0.075043,             0.00802,             0.00802,             0.00802
                   7,            0.045966,            0.024357,            0.077415,             0.69971,            0.071603,            0.050529,            0.027056,            0.053357,            0.021925,             0.07401,            0.007624,            0.007624,            0.007624
                   8,            0.045839,            0.025329,            0.076607,             0.67923,            0.094018,            0.091773,            0.044386,            0.048822,            0.022174,            0.073073,            0.007228,            0.007228,            0.007228
                   9,            0.043304,            0.023119,            0.076096,             0.62347,            0.080537,            0.071621,            0.041286,            0.048603,            0.022479,            0.072287,            0.006832,            0.006832,            0.006832
                  10,            0.042387,            0.023277,            0.074587,             0.57979,            0.094888,             0.11452,            0.080009,            0.048276,            0.021494,            0.071265,            0.006436,            0.006436,            0.006436
                  11,            0.041634,            0.022774,              0.0741,             0.54856,             0.10507,             0.10347,            0.068208,            0.048285,            0.021507,            0.071262,             0.00604,             0.00604,             0.00604
                  12,            0.040917,            0.022417,            0.073396,             0.55854,            0.092099,             0.11686,            0.065668,            0.047685,            0.022332,            0.070423,            0.005644,            0.005644,            0.005644
                  13,            0.039441,             0.02276,            0.071983,             0.55397,             0.12388,             0.10609,            0.071558,            0.047673,            0.021535,            0.069042,            0.005248,            0.005248,            0.005248
                  14,            0.038131,             0.02181,            0.072056,             0.54849,             0.11107,             0.12959,            0.093044,            0.047301,            0.021374,            0.068504,            0.004852,            0.004852,            0.004852
                  15,            0.037069,            0.021439,            0.071198,             0.53012,             0.11077,             0.11679,            0.074466,            0.046572,            0.021444,            0.067819,            0.004456,            0.004456,            0.004456
                  16,            0.036465,             0.02101,            0.069446,             0.55413,             0.12341,             0.11829,             0.08578,            0.046825,            0.022109,            0.067656,             0.00406,             0.00406,             0.00406
                  17,            0.035741,            0.021346,            0.068103,             0.52857,             0.14216,              0.1246,            0.089589,            0.046163,            0.021809,            0.066661,            0.003664,            0.003664,            0.003664
                  18,            0.035013,            0.020813,            0.068629,             0.55825,             0.11172,             0.10561,            0.070982,            0.046587,            0.022274,            0.066014,            0.003268,            0.003268,            0.003268
                  19,            0.035317,            0.020414,            0.066934,             0.55508,             0.11073,             0.11846,            0.077926,            0.045489,            0.022415,            0.065041,            0.002872,            0.002872,            0.002872
                  20,            0.033413,            0.020096,            0.065494,             0.59193,             0.13255,             0.11727,            0.084563,            0.045383,            0.021543,              0.0649,            0.002476,            0.002476,            0.002476
                  21,            0.032503,             0.01941,            0.064842,             0.53892,              0.1408,             0.13207,             0.09909,            0.044446,            0.021845,            0.064438,             0.00208,             0.00208,             0.00208
                  22,            0.032633,            0.020003,            0.064493,             0.56278,             0.13323,             0.13476,             0.10106,            0.044375,            0.022158,            0.064813,            0.001684,            0.001684,            0.001684
                  23,            0.031977,            0.019637,            0.063103,             0.59858,             0.14363,             0.14543,             0.10445,            0.043847,             0.02203,            0.064266,            0.001288,            0.001288,            0.001288
                  24,            0.030793,            0.018882,            0.061971,             0.59798,             0.15442,             0.14898,              0.1076,            0.044182,            0.021789,            0.064218,            0.000892,            0.000892,            0.000892
