               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098032,            0.030124,            0.098807,            0.002586,             0.32908,           0.0079547,           0.0028395,            0.074811,            0.021729,            0.094494,            0.070213,           0.0033097,           0.0033097
                   1,            0.067551,            0.027396,            0.090645,             0.65965,            0.031277,            0.013999,           0.0061074,             0.06502,              0.0179,            0.087868,             0.03995,             0.00638,             0.00638
                   2,              0.0632,            0.024706,            0.086849,             0.81409,            0.018056,            0.015718,            0.007671,            0.059673,            0.017557,            0.085641,           0.0094226,           0.0091862,           0.0091862
                   3,            0.059744,            0.024504,            0.085309,             0.60708,            0.068171,            0.018366,           0.0095318,            0.056928,            0.018233,            0.084441,            0.008812,            0.008812,            0.008812
                   4,            0.055784,            0.023857,            0.084062,             0.58442,            0.064727,            0.018478,           0.0085144,            0.058473,            0.017605,            0.083752,            0.008812,            0.008812,            0.008812
                   5,            0.053853,            0.024011,            0.083482,             0.11649,             0.20094,            0.016367,           0.0088362,            0.054349,            0.017486,            0.083166,            0.008416,            0.008416,            0.008416
                   6,            0.051847,              0.0235,            0.082483,             0.77683,            0.022148,            0.022323,            0.012384,            0.056229,            0.017105,            0.081739,             0.00802,             0.00802,             0.00802
                   7,            0.051619,            0.023688,            0.081845,             0.44672,            0.088862,            0.023367,            0.013119,            0.053927,            0.017962,             0.08149,            0.007624,            0.007624,            0.007624
                   8,            0.049755,            0.023306,            0.080442,             0.70103,            0.045343,            0.028436,            0.014249,            0.054124,            0.017597,            0.080611,            0.007228,            0.007228,            0.007228
                   9,            0.049361,            0.022711,            0.079273,             0.76831,            0.041769,            0.034352,            0.019468,            0.055575,            0.017192,            0.079972,            0.006832,            0.006832,            0.006832
                  10,            0.048414,            0.023066,            0.078572,             0.68474,             0.06025,            0.030684,            0.015915,            0.053415,            0.017194,            0.079308,            0.006436,            0.006436,            0.006436
                  11,            0.047492,             0.02274,            0.078075,             0.73172,            0.053996,            0.043418,            0.024326,            0.054921,            0.016966,            0.078594,             0.00604,             0.00604,             0.00604
                  12,             0.04731,            0.022471,            0.076203,              0.6728,            0.045304,            0.038558,             0.02093,            0.053214,            0.018249,            0.078763,            0.005644,            0.005644,            0.005644
                  13,            0.046221,            0.022485,            0.075842,             0.67439,             0.06625,            0.042303,            0.024261,             0.05274,            0.017565,            0.077983,            0.005248,            0.005248,            0.005248
                  14,             0.04536,            0.021191,            0.075166,             0.70207,            0.052743,            0.039937,            0.020825,            0.052966,              0.0178,            0.077956,            0.004852,            0.004852,            0.004852
                  15,            0.044675,            0.021832,            0.073917,             0.63162,            0.087973,            0.053299,            0.032511,            0.052133,            0.017688,            0.077087,            0.004456,            0.004456,            0.004456
                  16,            0.043883,             0.02187,            0.073228,             0.62272,            0.066351,            0.042575,            0.024272,            0.052128,            0.017607,            0.076689,             0.00406,             0.00406,             0.00406
                  17,            0.043381,            0.020163,            0.072079,             0.62808,            0.081133,            0.046647,            0.026013,            0.052115,            0.017368,             0.07613,            0.003664,            0.003664,            0.003664
                  18,            0.042975,             0.02138,            0.071327,             0.60531,            0.082276,            0.047172,            0.027876,             0.05248,            0.017622,            0.078027,            0.003268,            0.003268,            0.003268
                  19,            0.042678,             0.02071,            0.070312,              0.5026,            0.090832,            0.051055,            0.030942,            0.052839,            0.017419,            0.077054,            0.002872,            0.002872,            0.002872
                  20,            0.040909,            0.020502,             0.06913,             0.61194,            0.095607,             0.05934,            0.035652,            0.051749,            0.018062,            0.075469,            0.002476,            0.002476,            0.002476
                  21,            0.040877,            0.021041,            0.068561,              0.5629,            0.081816,            0.056389,            0.034523,            0.052094,             0.01759,             0.07648,             0.00208,             0.00208,             0.00208
                  22,            0.040447,            0.020364,            0.068129,              0.5946,            0.080649,            0.055439,            0.034253,            0.052044,            0.017867,            0.075252,            0.001684,            0.001684,            0.001684
                  23,            0.039374,            0.019739,            0.066574,             0.54985,            0.094421,            0.072346,            0.040575,            0.052235,            0.017565,            0.075465,            0.001288,            0.001288,            0.001288
                  24,            0.038735,             0.01915,            0.066085,             0.61526,            0.086607,            0.066643,            0.039446,            0.051941,             0.01791,            0.075595,            0.000892,            0.000892,            0.000892
