                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1723,                 2.9228,                  1.177,                0.35737,                 0.1742,                0.09444,                0.06339,                 1.2981,                  2.666,                 1.2202,             0.00036489,             0.00036489,             0.00036489
                      2,                 1.2685,                 2.2191,                 1.2257,                0.30441,                0.12845,                0.05404,                  0.028,                 1.6231,                 3.8728,                 1.5346,             0.00072552,             0.00072552,             0.00072552
                      3,                 1.3403,                 2.2195,                 1.2851,                0.52141,                0.09281,                0.06141,                0.03539,                 1.5353,                 3.4706,                 1.3921,              0.0010764,              0.0010764,              0.0010764
                      4,                 1.3894,                 2.2577,                 1.2922,                0.32787,                0.17835,                0.10385,                0.06122,                 1.5709,                 3.0143,                 1.4278,               0.001067,               0.001067,               0.001067
                      5,                 1.3563,                 2.1552,                 1.2597,                0.52986,                 0.1717,                0.11089,                0.06229,                 1.4976,                 2.6392,                 1.4319,              0.0010523,              0.0010523,              0.0010523
                      6,                 1.3296,                 2.1294,                 1.2587,                0.29565,                0.21355,                0.10751,                0.06267,                 1.4969,                 3.0806,                 1.3923,              0.0010377,              0.0010377,              0.0010377
                      7,                 1.3047,                 2.0681,                  1.236,                0.55971,                0.16682,                0.11177,                0.06699,                 1.4184,                 2.4139,                 1.3384,               0.001023,               0.001023,               0.001023
                      8,                 1.2723,                 2.0313,                 1.2216,                0.64597,                0.15503,                0.16916,                0.11231,                  1.361,                 2.5364,                 1.2835,              0.0010083,              0.0010083,              0.0010083
                      9,                  1.251,                 1.9625,                 1.2013,                0.38169,                0.17657,                 0.1488,                0.09947,                 1.3738,                 2.4708,                 1.3322,             0.00099368,             0.00099368,             0.00099368
                     10,                 1.2198,                 1.8966,                 1.1961,                0.35968,                0.27726,                0.15188,                0.10441,                 1.3391,                  2.266,                 1.2952,             0.00097901,             0.00097901,             0.00097901
                     11,                 1.2223,                 1.8826,                 1.1893,                0.35795,                 0.2181,                0.14565,                0.09881,                 1.3624,                 2.2129,                 1.3111,             0.00096435,             0.00096435,             0.00096435
                     12,                 1.1927,                 1.8361,                 1.1669,                0.59091,                0.20001,                 0.1774,                0.11211,                 1.3255,                 2.0655,                 1.2856,             0.00094968,             0.00094968,             0.00094968
                     13,                 1.1704,                 1.7605,                   1.16,                0.62733,                0.22176,                0.17686,                0.11906,                 1.3546,                 2.3022,                 1.3068,             0.00093502,             0.00093502,             0.00093502
                     14,                 1.1558,                 1.7678,                 1.1587,                0.59318,                0.19308,                0.21206,                0.13816,                 1.3287,                 2.0419,                 1.2827,             0.00092035,             0.00092035,             0.00092035
                     15,                 1.1276,                 1.7406,                 1.1342,                0.39725,                0.21147,                0.16337,                0.10283,                 1.3174,                 2.1372,                 1.2922,             0.00090569,             0.00090569,             0.00090569
                     16,                 1.1183,                  1.755,                  1.148,                0.37837,                0.30028,                0.17625,                0.12131,                 1.3396,                 2.0953,                 1.2866,             0.00089102,             0.00089102,             0.00089102
                     17,                 1.1211,                 1.6744,                 1.1403,                0.39438,                0.19152,                0.15514,                0.09772,                 1.3247,                 2.0825,                 1.2881,             0.00087636,             0.00087636,             0.00087636
                     18,                 1.1127,                 1.6748,                 1.1457,                0.38362,                0.32719,                0.18877,                0.12412,                 1.3175,                 2.3517,                 1.2829,             0.00086169,             0.00086169,             0.00086169
